tarih,bölüm,çekim,karakterler,sesler,süre_sn,çözünürlük,seed,kredi,dolar,durum,video_url,yerel_dosya
2026-07-14 15:56,1,1,,,10,1080p,,126.0,0.63,ok,https://tempfile.aiquickdraw.com/v/158569093e11256f03358226caec4eb5_1784044558.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/the-vast/episodes/ep01/shots/shot_01.mp4
2026-07-14 15:59,1,2,,,10,1080p,,126.0,0.63,ok,https://tempfile.aiquickdraw.com/v/1f6567573859b105a212ead530a8336a_1784044756.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/the-vast/episodes/ep01/shots/shot_02.mp4
2026-07-15 16:00,2,1,,,10,1080p,,126.0,0.63,ok,https://tempfile.aiquickdraw.com/v/c13ce9d360ff35282049c10068dc97dc_1784131162.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/the-vast/episodes/ep02/shots/shot_01.mp4
2026-07-15 16:05,2,2,,,10,1080p,,252.0,1.26,ok,https://tempfile.aiquickdraw.com/v/084ff88a2503d38cde84277c1063f996_1784131341.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/the-vast/episodes/ep02/shots/shot_02.mp4
